name,field,subcategory,mbti
Simona Quadarella,Sports,Swimming & Diving,ENTJ
Simone Biles,Sports,Gymnastics,ESFJ
Sir Lewis Hamilton,Sports,Autosport,ISFP
Sir Vivian Richards,Sports,Cricket,ESFJ
Sixto Sanchez,Sports,Baseball,ISFP
Skip Bayless,Entertainment,"Hosts, Analysts & Commentators",ENTP
Sky Brown,Sports,Skateboarding,ESFP
Slaven Bilić,Sports,Football,ENFJ
Sócrates,Sports,Football,ISTP
Sofia Akateva,Sports,Ice skating,INTP
Sofia Muravieva,Sports,Ice skating,ISFP
Sofia Samodurova,Sports,Ice skating,ESFP
Sofie Dossi,Sports,Gymnastics,ESFP
Sofyan Amrabat,Sports,Football,ISTP
Soichiro Sasaki ,Sports,MMA,ISFP
Solo Sikoa,Sports,Wrestling,ISTP
Sonny Gray,Sports,Baseball,ISFJ
Sonny Kiss,Sports,Wrestling,ENFP
Sonny Liston,Sports,Boxing,ISTP
Sonya Deville,Sports,Wrestling,ISTP
Sophie Arvebrink,Sports,Bodybuilding,ESTP
Sosai Masutatsu Oyama,Sports,Martial Arts,INTJ
Soufiane El Bakkali,Sports,Track & Field,ISFJ
Sourav Ganguly,Sports,Cricket,INTJ
Spencer Dinwiddie,Sports,Basketball,ENFP
Spencer Rattler,Sports,Football,ISFP
Spencer Strider,Sports,Baseball,ISTJ
Spencer Torkelson,Sports,Baseball,ESFJ
Spud Webb,Sports,Basketball,INTP
Stacy Keibler,Sports,Wrestling,ESFP
Stan Wawrinka,Sports,Tennis,INFJ
Stanislav Cherchesov,Sports,Football,ESTJ
Starling Marte,Sports,Baseball,ISFP
Stefan de Vrij,Sports,Football,INTP
Stefan Edberg,Sports,Tennis,ISFJ
Stefan Kraft,Sports,Skiing & Snowboarding,ESFJ
Stefan Savić,Sports,Football,ESTJ
Stefano Pioli,Sports,Football,ISFJ
Stefanos Tsitsipas,Sports,Tennis,INFP
Steffi Graf,Sports,Tennis,ISTP
Stefon Diggs,Sports,Football,ISFP
Stéphane Lambiel,Sports,Ice skating,ENFJ
Stephanie McMahon,Sports,Wrestling,ESTJ
"Stephen ""Wonderboy"" Thompson",Sports,MMA,INFP
Stephen A. Smith,Entertainment,"Hosts, Analysts & Commentators",ESTJ
Stephen Chidwick,Sports,Poker,ISTJ
Stephen Curry,Sports,Basketball,ESTP
Stephen Jackson,Sports,Basketball,ESTP
Stephen Strasburg,Sports,Baseball,ISFP
Stephon Gilmore,Sports,Football,ISTJ
Stephon Tuitt,Sports,Football,ISTJ
Sterling Sharpe,Sports,Football,ESTJ
Sterling Shepard,Sports,Football,ESFP
Steve Austin,Sports,Wrestling,ESTJ
Steve Avery,Sports,Baseball,ESFP
Steve Berra,Sports,Skateboarding,ISFP
Steve Carlson,Sports,Hockey,ENTJ
Steve Kerr,Sports,Basketball,ENFJ
Steve Mariucci,Sports,Football,ESTJ
Steve McNair,Sports,Football,ESTJ
Steve Nash,Sports,Basketball,ENTP
Steve Nicol,Entertainment,"Hosts, Analysts & Commentators",ISTP
Steve Prefontaine,Sports,Track & Field,ESFP
Steve Sarkisian,Sports,Football,ENTJ
Steve Smith Sr.,Sports,Football,ENTJ
Steve Spurrier,Sports,Football,ESTJ
Steve Stone,Sports,Baseball,INTP
Steven Adams,Sports,Basketball,ISFP
Steven Gerrard,Sports,Football,ISTP
Steven Stamkos,Sports,Hockey,ESTP
Sting,Sports,Wrestling,INFP
Sting (Crow),Sports,Wrestling,INFP
Stipe Miocic,Sports,MMA,ISFJ
Stockfish,Sports,Chess,INTP
Stu Grayson,Sports,Wrestling,ISTJ
Stu Ungar,Sports,Poker,ENTP
Sturla Holm Lægreid,Sports,Skiing & Snowboarding,ISFP
Sugar Ray Leonard,Sports,Boxing,ESFJ
Sugar Ray Robinson,Sports,Boxing,ESFP
Sui Wenjing,Sports,Ice skating,ESFP
Süleyman Seba,Sports,Football,INFJ
Summer Rae,Sports,Wrestling,ESFP
Sun Yang,Sports,Swimming & Diving,ESFP
Sun Yingsha,Sports,Table Tennis,ISTP
Sunisa “Suni” Lee,Sports,Gymnastics,ENFP
Sunny Akani,Sports,Snooker,INFP
Sunny Suljic,Sports,Skateboarding,ESFP
"Suphachai ""Saenchai"" Saepong",Sports,Boxing,ENTP
Susanto Megaranto,Sports,Chess,ENTP
Susie Wolff,Sports,Autosport,ENFJ
Svetlana Khorkina,Sports,Gymnastics,ESTJ
Sylvie Guillem,Sports,Other Talented Individuals,ISTJ
T.J. Oshie,Sports,Hockey,ESFP
T.J. Ward,Sports,Football,ISFP
T.J. Watt,Sports,Football,ISFJ
Tadeáš Růžička,Sports,MMA,ESTP
Tai Tzu-ying,Sports,Badminton,ISTP
Taijuan Walker,Sports,Baseball,ISTJ
Takefusa Kubo,Sports,Football,ESTJ
Takehiro Tomiyasu,Sports,Football,INFP
Takeo Spikes,Sports,Football,ESFJ
Tamashii Wukong,Sports,Other Talented Individuals,ENFJ
Tamba Hali,Sports,Football,ISTJ
Tamim Iqbal,Sports,Cricket,ISFP
Tammy Abraham,Sports,Football,ESTP
