name,field,subcategory,mbti
"""Khaotung"" Thanawat Ratanakitpaisan",Entertainment,Actors & Actresses,INFP
"""Man"" Trisanu Soranun",Entertainment,Actors & Actresses,ENFP
"""PP"" Krit Amnuaydechkorn",Entertainment,Actors & Actresses,ESTP
A. J. Holmes,Entertainment,Actors & Actresses,INFJ
A.J. Cook,Entertainment,Actors & Actresses,ESFJ
Aamina Sheikh,Entertainment,Actors & Actresses,ISTJ
Aamir Khan,Entertainment,Actors & Actresses,INFJ
Aamir Liaquat Hussain,Entertainment,Actors & Actresses,ENFJ
Aaron Altaras,Entertainment,Actors & Actresses,ENFJ
Aaron Bleyaert,Entertainment,Film & TV Crew,ENFP
Aaron Dismuke,Entertainment,Voice Acting,ISFJ
Aaron Eckhart,Entertainment,Actors & Actresses,ENFP
Aaron Kwok,Entertainment,Actors & Actresses,ESFP
Aaron Paul,Entertainment,Actors & Actresses,ESFP
Aaron Sorkin,Entertainment,Film Directors,INTJ
Aaron Spelling,Entertainment,Film & TV Crew,INFJ
Aaron Taylor-Johnson,Entertainment,Actors & Actresses,INFJ
Aaron Tveit,Entertainment,Actors & Actresses,ESFJ
Abbas Kiarostami,Entertainment,Film Directors,INTP
Abbas Mowzoon,Entertainment,Film & TV Crew,INFJ
Abbi Jacobson,Entertainment,Actors & Actresses,ENFP
Abby Huntsman,Entertainment,Hosts & Presenters,ESFJ
Abby Lee Miller,Entertainment,Hosts & Presenters,ESTJ
Abby Trott,Entertainment,Voice Acting,ESFP
Abdolreza Kahani,Entertainment,Film Directors,INTP
"AbdRahman Lamri ""Gotze""",Entertainment,Actors & Actresses,ESTP
Abe Hiroshi,Entertainment,Actors & Actresses,INTP
Abe Sadao,Entertainment,Actors & Actresses,INFJ
Abel Ferarra,Entertainment,Film Directors,ISTP
Abel Gance,Entertainment,Film Directors,INFJ
Abelard Giza,Entertainment,Comedians,ENTP
Abhishek Upmanyu,Entertainment,Comedians,ENTP
Abigail “Abbey” Cowen,Entertainment,Actors & Actresses,ENFP
Abigail Breslin,Entertainment,Actors & Actresses,ISFJ
Abimana Aryasatya,Entertainment,Actors & Actresses,INFP
Abner Henrique,Entertainment,Comedians,INTP
Abubakar Salim,Entertainment,Actors & Actresses,INFJ
AC Bonifacio,Entertainment,Actors & Actresses,ISFP
Achmed (Jeff Dunham),Entertainment,Comedians,ESTP
Adal Ramones,Entertainment,Hosts & Presenters,ESFJ
Adam Berg,Entertainment,Comedians,INFJ
Adam Brody,Entertainment,Actors & Actresses,ENFP
Adam Carolla,Entertainment,Comedians,ESTP
Adam Conover (Adam Ruins Everything),Entertainment,Hosts & Presenters,ENFP
Adam Copeland,Entertainment,Actors & Actresses,INTP
Adam DeVine,Entertainment,Actors & Actresses,ENTP
Adam DiMarco,Entertainment,Actors & Actresses,ISFP
Adam Driver,Entertainment,Actors & Actresses,INFP
Adam Eget,Entertainment,Hosts & Presenters,ENFJ
Adam Friedland,Entertainment,Comedians,ISFP
Adam Howden,Entertainment,Voice Acting,ISFJ
Adam McKay,Entertainment,Film Directors,ENTP
Adam Pesapane (PES),Entertainment,Film Directors,INFP
Adam Sandler,Entertainment,Actors & Actresses,ISFP
Adam Scott,Entertainment,Actors & Actresses,INTJ
Adam West,Entertainment,People of Classic Hollywood,ENTP
Adam Wingard,Entertainment,Film Directors,ENFP
Addison Timlin,Entertainment,Actors & Actresses,ENTJ
Adel Emam,Entertainment,Actors & Actresses,ENTP
Adela Vinczeová,Entertainment,Hosts & Presenters,ENTP
Adelaide Kane,Entertainment,Actors & Actresses,ISTP
Adèle Exarchopoulos,Entertainment,Actors & Actresses,ESFP
Adèle Haenel,Entertainment,Actors & Actresses,ENFP
Adetomiwa Edun,Entertainment,Actors & Actresses,INTJ
Adhisty Zara,Entertainment,Actors & Actresses,ESFP
Adile Naşit,Entertainment,Actors & Actresses,ESFJ
Adina Porter,Entertainment,Actors & Actresses,ESFJ
Adipati Dolken,Entertainment,Actors & Actresses,ISFP
Aditi Rao hydari,Entertainment,Actors & Actresses,ENFJ
Aditya Roy Kapoor,Entertainment,Actors & Actresses,ISFP
Adivi Sesh,Entertainment,Actors & Actresses,ENTJ
Adnan Malik,Entertainment,Actors & Actresses,ENFP
Adri Lacaita,Entertainment,Actors & Actresses,ENFP
Adrian Edmondson,Entertainment,Comedians,ENTP
Adrian Greensmith,Entertainment,Actors & Actresses,ENTP
Adrian Grenier,Entertainment,Actors & Actresses,ENFP
Adrián Marcelo,Entertainment,Comedians,ENTP
"Adrián Nario ""El Bananero""",Entertainment,Comedians,ENTP
Adrián Uribe,Entertainment,Actors & Actresses,ESTP
Adriana Esteves,Entertainment,Actors & Actresses,ENFJ
Adriana Karembeu,Entertainment,Models,INFP
Adriana Lima,Entertainment,Models,ESFJ
Adriana Volpe,Entertainment,Hosts & Presenters,ESFJ
Adriane Galisteu,Entertainment,Hosts & Presenters,ESFJ
Adrianne Palicki,Entertainment,Actors & Actresses,ESTP
Adrien Brody,Entertainment,Actors & Actresses,INFJ
Adrienne Bailon,Entertainment,Actors & Actresses,ESFJ
Adut Akech,Entertainment,Models,ENFP
Afonso Padilha,Entertainment,Comedians,INTP
Afra Saraçoğlu,Entertainment,Actors & Actresses,ESTP
Afsaneh pakroo,Entertainment,Actors & Actresses,ISFP
Aftab Shivdasani,Entertainment,Actors & Actresses,ESFP
Agapito Díaz,Entertainment,Comedians,ISFP
Agatha Chelsea,Entertainment,Actors & Actresses,INFJ
Agatha Moreira,Entertainment,Actors & Actresses,ISFP
Agnès Varda,Entertainment,Film Directors,ENFP
Aguinaldo Silva,Entertainment,Film & TV Crew,ESFJ
Aguri Ōnishi,Entertainment,Actors & Actresses,ESFJ
Ahaana Krishna,Entertainment,Actors & Actresses,ESFJ
Ahad Raza Mir,Entertainment,Actors & Actresses,ISTP
Ahikar Azcona,Entertainment,Actors & Actresses,INFJ
Ahmad Mehranfar,Entertainment,Actors & Actresses,ENTP
Ahmed Best,Entertainment,Actors & Actresses,ISFP
ahmed el sakka,Entertainment,Actors & Actresses,ESTP
Ahmed Helmy,Entertainment,Actors & Actresses,ENTP
Ahmed Malek,Entertainment,Actors & Actresses,INFJ
Ahmed Mekky,Entertainment,Actors & Actresses,ENFJ
Ahmed Zaki,Entertainment,Actors & Actresses,INFJ
Ahmet Mümtaz Taylan,Entertainment,Actors & Actresses,ISFJ
Ahn Hyo Seop,Entertainment,Actors & Actresses,INTP
Ahn Jae-hyun,Entertainment,Actors & Actresses,ESTP
Ahsen Eroğlu,Entertainment,Actors & Actresses,ENFP
Ahsen Ünver,Entertainment,Actors & Actresses,ENFJ
Ai Furihata,Entertainment,Voice Acting,ISFJ
Ai Hashimoto,Entertainment,Actors & Actresses,INTP
Ai Kakuma,Entertainment,Voice Acting,INFP
Ai Kayano,Entertainment,Voice Acting,ESFJ
Ai Nonaka,Entertainment,Voice Acting,ESFP
Ai Yoshikawa,Entertainment,Actors & Actresses,INFP
Aiba Aina,Entertainment,Voice Acting,ESFP
Aidan Gallagher,Entertainment,Actors & Actresses,ENTJ
Aidan Gillen,Entertainment,Actors & Actresses,INTP
Aidy Bryant,Entertainment,Actors & Actresses,ENFP
Aika Kobayashi,Entertainment,Voice Acting,ESTP
Aílton Graça,Entertainment,Actors & Actresses,ESFP
Aimee Carrero,Entertainment,Voice Acting,ENFP
Aimee Garcia,Entertainment,Actors & Actresses,ENTP
Aimee Lou Wood,Entertainment,Actors & Actresses,ENFP
Aimi,Entertainment,Voice Acting,ENFJ
Aimi Kash,Entertainment,Models,INFP
Aina Kusuda,Entertainment,Voice Acting,ISFP
Aina Suzuki,Entertainment,Voice Acting,ESFP
Ainsley Earhardt,Entertainment,Hosts & Presenters,ESFJ
Aishwarya Rai,Entertainment,Actors & Actresses,INFJ
Aisling Bea,Entertainment,Actors & Actresses,ENTP
Aj (wonderland system),Entertainment,Comedians,INFP
AJ Bowen,Entertainment,Actors & Actresses,ISFJ
AJ Michalka,Entertainment,Actors & Actresses,ENFJ
AJ Raval,Entertainment,Actors & Actresses,ESFP
Ajay Devgn,Entertainment,Actors & Actresses,ISTP
Ajith Kumar,Entertainment,Actors & Actresses,ISTP
Akaash Singh,Entertainment,Comedians,ENTJ
Akari Kitō,Entertainment,Voice Acting,ISFP
Akash Kumar,Entertainment,Models,ISFP
Akeno Watanabe,Entertainment,Voice Acting,ENFP
Aki Kaurismäki,Entertainment,Film Directors,INFP
Aki Toyosaki,Entertainment,Voice Acting,ENFP
Akio Ōtsuka,Entertainment,Voice Acting,ISFP
Akira Ishida,Entertainment,Voice Acting,INTP
Akira Kurosawa,Entertainment,Film Directors,INFJ
Akiva Schaffer,Entertainment,Actors & Actresses,INTP
Akom Preedakul (Kom Chuanchuen),Entertainment,Comedians,ESFP
Akshay Kumar,Entertainment,Actors & Actresses,ISTJ
Al Ghazali,Entertainment,Actors & Actresses,ESTJ
Al Jolson,Entertainment,People of Classic Hollywood,ESFP
Al Pacino,Entertainment,Actors & Actresses,INFJ
Alain Chabat,Entertainment,Actors & Actresses,ENFP
Alain Delon,Entertainment,Actors & Actresses,ISTP
Alain Resnais,Entertainment,Film Directors,INTP
Alain Robbe-Grillet,Entertainment,Film Directors,INTJ
Alan Alda,Entertainment,Actors & Actresses,ENFJ
Alan Arkin,Entertainment,Actors & Actresses,INFP
Alan Carr,Entertainment,Comedians,ENFP
Alan Clarke,Entertainment,Film Directors,ENFP
Alan Cumming,Entertainment,Actors & Actresses,ENFP
Alan Davies,Entertainment,Comedians,ISFP
Alan Estrada,Entertainment,Actors & Actresses,ENFJ
Alan Parker,Entertainment,Film Directors,ENFJ
Alan Resnick,Entertainment,Comedians,ENFP
Alan Rickman,Entertainment,Actors & Actresses,INFJ
Alan Ruck,Entertainment,Actors & Actresses,ISFJ
Alan Schmuckler,Entertainment,Actors & Actresses,ESTP
Alan Taylor,Entertainment,Film Directors,ISTJ
Alan Thicke,Entertainment,Actors & Actresses,ESFJ
Alan Tudyk,Entertainment,Actors & Actresses,ENTP
Alana Champion,Entertainment,Models,ESFP
Alana de la Garza,Entertainment,Actors & Actresses,ENFJ
Alanis Guillen,Entertainment,Actors & Actresses,ISFP
Alanna Arrington,Entertainment,Models,INTJ
Alanna Masterson,Entertainment,Actors & Actresses,INFP
Alba Baptista,Entertainment,Actors & Actresses,INFJ
Alba Flores,Entertainment,Actors & Actresses,INFP
Alba Parietti,Entertainment,Hosts & Presenters,ESFP
Albert Brooks,Entertainment,Actors & Actresses,INFJ
Albert Finney,Entertainment,People of Classic Hollywood,ENTP
"Albert R. ""Cubby"" Broccoli",Entertainment,Film & TV Crew,ENTJ
Alberto Angela,Entertainment,Hosts & Presenters,ENFJ
Alberto Matano,Entertainment,Hosts & Presenters,ISFJ
Alberto Rosende,Entertainment,Actors & Actresses,ENFP
Alda D’Eusanio,Entertainment,Hosts & Presenters,ESTP
Alden Ehrenreich,Entertainment,Actors & Actresses,ESFP
Alden Richards,Entertainment,Actors & Actresses,ISFJ
Aldis Hodge,Entertainment,Actors & Actresses,ENTP
Aldo Baglio,Entertainment,Actors & Actresses,ESFP
Alec Baldwin,Entertainment,Actors & Actresses,ESTJ
Alec Utgoff,Entertainment,Actors & Actresses,INFP
Alejandra “Jani” Dueñas,Entertainment,Hosts & Presenters,ENTP
Alejandro Fantino,Entertainment,Hosts & Presenters,ESTP
Alejandro González-Iñárritu,Entertainment,Film Directors,ENFP
Alejandro Jodorowsky,Entertainment,Film Directors,ENFP
Alejandro Saab / KaggyFilms,Entertainment,Voice Acting,ENFP
Aleks Le,Entertainment,Voice Acting,ISFP
Aleksander Petrov,Entertainment,Actors & Actresses,ESFJ
Aleksandr Revva,Entertainment,Comedians,ESTP
Aleksandr Zubarev (Zubareff),Entertainment,Comedians,ENTP
Aleksei Kravchenko,Entertainment,Actors & Actresses,INFJ
Aleksey Panin,Entertainment,Actors & Actresses,ESFP
Alessandra Ambrosio,Entertainment,Models,ESTP
Alessandra Negrini,Entertainment,Actors & Actresses,ENFJ
Alessandro Cattelan,Entertainment,Hosts & Presenters,ENTP
Alessia Marcuzzi,Entertainment,Hosts & Presenters,ESFJ
Alex Belli,Entertainment,Actors & Actresses,ESTP
Alex Boniello,Entertainment,Actors & Actresses,ENFP
Alex Brightman,Entertainment,Actors & Actresses,ENFJ
Alex Edelman,Entertainment,Comedians,ENTP
Alex Fernández,Entertainment,Comedians,ENFP
Alex Garland,Entertainment,Film & TV Crew,INTJ
Alex Gonzaga,Entertainment,Actors & Actresses,ESFP
Alex Hooper,Entertainment,Comedians,ENTP
Alex Horne,Entertainment,Comedians,INTP
Alex Høgh Andersen,Entertainment,Actors & Actresses,ENFP
Alex Hunter (HiTop Films),Entertainment,Film Directors,INFP
Alex Jennings,Entertainment,Actors & Actresses,INTP
Alex Kingston,Entertainment,Actors & Actresses,ENFJ
Alex Landi,Entertainment,Actors & Actresses,ISTP
Alex Lawther,Entertainment,Actors & Actresses,INFP
Alex Marin,Entertainment,Actors & Actresses,ESTJ
Alex Moffat,Entertainment,Actors & Actresses,ENTP
Alex O'Loughlin,Entertainment,Actors & Actresses,ESTP
Alex Pettyfer,Entertainment,Actors & Actresses,ISFP
Álex Pina,Entertainment,Film Directors,ENTP
Alex Quiroz,Entertainment,Comedians,ISFP
Alex Ross Perry,Entertainment,Film Directors,ISTP
Alex Trebek,Entertainment,Hosts & Presenters,INTJ
Alex Wolff,Entertainment,Actors & Actresses,INFP
Alexa Chung,Entertainment,Hosts & Presenters,ENTP
Alexa Demie,Entertainment,Actors & Actresses,ISFP
Alexa Nikolas,Entertainment,Actors & Actresses,ENFP
Alexa PenaVega,Entertainment,Actors & Actresses,ENFJ
"Alexander ""Sasha Maloy"" Rakovskih",Entertainment,Comedians,ENFP
Alexander Calvert,Entertainment,Actors & Actresses,INFP
Alexander Gorchilin,Entertainment,Actors & Actresses,ISFP
Alexander Koch,Entertainment,Actors & Actresses,ISFP
Alexander Ludwig,Entertainment,Actors & Actresses,ISFP
Alexander Rakovskih “Sasha Maloj” (Саша Малой),Entertainment,Comedians,ENFP
Alexander Skarsgård,Entertainment,Actors & Actresses,ENTP
Alexandr Gudkov,Entertainment,Comedians,ENFP
Alexandra Breckenridge,Entertainment,Actors & Actresses,ENFP
Alexandra Cooper,Entertainment,Hosts & Presenters,ESFP
Alexandra Daddario,Entertainment,Actors & Actresses,ESTP
Alexandra Dolgopolova (Александр Долгополов),Entertainment,Comedians,INFP
Alexandra Shipp,Entertainment,Actors & Actresses,ENTP
Alexandre Astier,Entertainment,Comedians,INTJ
Alexandre Borges,Entertainment,Actors & Actresses,ENFJ
Alexandre Nero,Entertainment,Actors & Actresses,ENTP
Alexei Kvashonkin,Entertainment,Comedians,ENTJ
Alexei Shcherbakov,Entertainment,Comedians,ESTP
Alexina Graham,Entertainment,Models,ENFP
Alexis Bledel,Entertainment,Actors & Actresses,ISFJ
Alexis Ren,Entertainment,Models,ESFJ
Alexis Tipton,Entertainment,Voice Acting,ESFP
Alexxis Lemire,Entertainment,Actors & Actresses,ENFP
Alexz Johnson,Entertainment,Actors & Actresses,INFJ
Alfie Allen,Entertainment,Actors & Actresses,ISFP
Alfonso Cuarón,Entertainment,Film Directors,INFP
Alfonso Herrera,Entertainment,Actors & Actresses,ENFJ
Alfonso Obregón,Entertainment,Voice Acting,INTP
Alfonso Ribeiro,Entertainment,Actors & Actresses,ENTP
Alfonso Signorini,Entertainment,Hosts & Presenters,ENFJ
Alfre Woodard,Entertainment,Actors & Actresses,ESTJ
Alfred Enoch,Entertainment,Actors & Actresses,ENFP
Alfred Hitchcock,Entertainment,Film Directors,ESTP
Alfred Molina,Entertainment,Actors & Actresses,ENFP
Alfredo Adame,Entertainment,Actors & Actresses,ESFP
Ali Atay,Entertainment,Film Directors,ISFP
Ali Foroutan,Entertainment,Actors & Actresses,INTP
Ali İhsan Varol,Entertainment,Hosts & Presenters,ENFJ
Ali Michael,Entertainment,Models,INFP
Ali Oji,Entertainment,Actors & Actresses,ENFP
Ali Plumb,Entertainment,Hosts & Presenters,ENFP
Ali shadman,Entertainment,Actors & Actresses,ENFP
Ali Siddiq,Entertainment,Comedians,ISTP
Ali Tabrizi,Entertainment,Film Directors,INTP
Ali Wong,Entertainment,Comedians,ESTP
Ali Zafar,Entertainment,Actors & Actresses,ENTP
Alia Bhatt,Entertainment,Actors & Actresses,ESFP
Alia Shawkat,Entertainment,Actors & Actresses,ENFP
Aliando Syarief,Entertainment,Actors & Actresses,ISFP
Alice Braga,Entertainment,Actors & Actresses,ESFP
Alice Evans,Entertainment,Actors & Actresses,ENFP
Alice Eve,Entertainment,Actors & Actresses,ISFJ
Alice Henley,Entertainment,Actors & Actresses,ESFJ
Alice Krige,Entertainment,Actors & Actresses,ENFJ
Alice Wu,Entertainment,Film Directors,INTJ
Alicia Agneson,Entertainment,Actors & Actresses,ESFP
Alicia Banit,Entertainment,Actors & Actresses,ENFP
Alicia Machado,Entertainment,Actors & Actresses,ESFP
Alicia Silverstone,Entertainment,Actors & Actresses,ENFP
Alicia Vikander,Entertainment,Actors & Actresses,ISFJ
Alicia Witt,Entertainment,Actors & Actresses,INTP
Aliki Vougiouklaki,Entertainment,Actors & Actresses,ESFP
Alina Boz,Entertainment,Actors & Actresses,INFJ
Aline Campos (Aline Riscado),Entertainment,Actors & Actresses,ISFP
Aline Mineiro,Entertainment,Models,ISFP
Aline Wirley (BBB23),Entertainment,Actors & Actresses,ENFJ
Alisha Boe,Entertainment,Actors & Actresses,ENFJ
Alison Brie,Entertainment,Actors & Actresses,ENFP
Alison Elizabeth Larton,Entertainment,Actors & Actresses,ISTP
Alison Hammond,Entertainment,Hosts & Presenters,ESFP
Alison Lohman,Entertainment,Actors & Actresses,ENFJ
Alison Pill,Entertainment,Actors & Actresses,INTP
Alissa Salls,Entertainment,Models,INFP
Allison Harvard,Entertainment,Models,INFP
Allison Janney,Entertainment,Actors & Actresses,ESTP
Allison Mack,Entertainment,Actors & Actresses,ENTP
Allison Williams,Entertainment,Actors & Actresses,ISFJ
Allu Arjun,Entertainment,Actors & Actresses,ENFP
Ally Sheedy,Entertainment,Actors & Actresses,ISTP
Alma Reville,Entertainment,Film & TV Crew,ENFP
Alodia Gosiengfiao,Entertainment,Models,INFP
Alp Kırşan,Entertainment,Hosts & Presenters,ENFP
Alp Navruz,Entertainment,Actors & Actresses,ENTJ
Alper Çağlar,Entertainment,Film Directors,ENTP
Alperen Duymaz,Entertainment,Actors & Actresses,INFP
Althea Ablan,Entertainment,Actors & Actresses,ESFJ
Alton Mason,Entertainment,Models,ENFP
Álvaro Díaz,Entertainment,Film Directors,ENTP
Álvaro Morte,Entertainment,Actors & Actresses,ENFJ
Álvaro Rico,Entertainment,Actors & Actresses,ENFP
Alvaro Vitali,Entertainment,Actors & Actresses,ENTP
Alycia Debnam-Carey,Entertainment,Actors & Actresses,ISFP
Alyson Hannigan,Entertainment,Actors & Actresses,ESFJ
Alyson Michalka,Entertainment,Actors & Actresses,ISFP
Alyson Stoner,Entertainment,Actors & Actresses,ENFJ
Alyssa Milano,Entertainment,Actors & Actresses,ESFP
Alyssa Sutherland,Entertainment,Actors & Actresses,INFJ
Alyvia Alyn Lind,Entertainment,Actors & Actresses,ENFP
Amadeus,Entertainment,Hosts & Presenters,ESFJ
Amanda Abbington,Entertainment,Actors & Actresses,ENFP
Amanda Céline Miller,Entertainment,Voice Acting,ESFP
Amanda Lamb,Entertainment,Hosts & Presenters,ISFJ
Amanda Lepore,Entertainment,Models,ESFP
Amanda Peet,Entertainment,Actors & Actresses,ENFJ
Amanda Ramalho,Entertainment,Film & TV Crew,ENFP
Amanda Rawles,Entertainment,Actors & Actresses,INFJ
Amanda Seales,Entertainment,Comedians,ENTJ
Amanda Seyfried,Entertainment,Actors & Actresses,INTP
Amanda Tapping,Entertainment,Actors & Actresses,ENFP
Amandla Stenberg,Entertainment,Actors & Actresses,INFP
Amane Shindo,Entertainment,Voice Acting,INFJ
Amber Heard,Entertainment,Actors & Actresses,ESTP
Amber Riley,Entertainment,Actors & Actresses,ESFJ
Amber Valletta,Entertainment,Models,ESFP
Ambra Angiolini,Entertainment,Actors & Actresses,ENFP
Ambyr Childers,Entertainment,Actors & Actresses,ISFP
Amelia Eve,Entertainment,Actors & Actresses,ESFP
Amelia Rose Blaire,Entertainment,Actors & Actresses,ENFP
Amelia Zadro,Entertainment,Models,ENFP
America Ferrera,Entertainment,Actors & Actresses,ENFJ
Ami Koshimizu,Entertainment,Voice Acting,INFP
Amin Hayaei,Entertainment,Actors & Actresses,ESFP
Amina Khalil,Entertainment,Actors & Actresses,ENFP
Amir Hossein Arman,Entertainment,Actors & Actresses,ESFJ
Amir jadidi,Entertainment,Actors & Actresses,INTJ
Amir Kazemi,Entertainment,Actors & Actresses,ENFP
Amirali Nabavian,Entertainment,Actors & Actresses,INFJ
Amirmehdi jouleh,Entertainment,Actors & Actresses,INTP
Amita Suman,Entertainment,Actors & Actresses,ENFJ
Amitabh Bachchan,Entertainment,Actors & Actresses,ISTJ
Amparo Grisales,Entertainment,Actors & Actresses,ENTJ
Amr Waked,Entertainment,Actors & Actresses,ISTP
Amra Silajdžić-Džeko,Entertainment,Models,ESFJ
Amrish Puri,Entertainment,Actors & Actresses,ISTJ
Amrita Singh,Entertainment,Actors & Actresses,ESTJ
Amy Adams,Entertainment,Actors & Actresses,INFJ
Amy Jo Johnson,Entertainment,Actors & Actresses,ESFP
Amy Poehler,Entertainment,Actors & Actresses,ENTP
Amy Schumer,Entertainment,Comedians,ESFP
Amy Sedaris,Entertainment,Actors & Actresses,ENFP
Amy Sherman-Palladino,Entertainment,Film & TV Crew,ENTP
Amy Smart,Entertainment,Actors & Actresses,ENTJ
Amybeth McNulty,Entertainment,Actors & Actresses,ENFP
Ana Brenda Contreras,Entertainment,Actors & Actresses,ENFJ
Ana Clara Lima (BBB18),Entertainment,Hosts & Presenters,ESFP
Ana de Armas,Entertainment,Actors & Actresses,ISFP
Ana Gasteyer,Entertainment,Actors & Actresses,ENTP
Ana Guiomar,Entertainment,Actors & Actresses,ESFP
Ana Hickmann,Entertainment,Hosts & Presenters,ESFJ
Ana Hikari,Entertainment,Actors & Actresses,ENFJ
Ana Lily Amirpour,Entertainment,Film Directors,ENTP
Ana Maria Braga,Entertainment,Hosts & Presenters,ESFJ
Ana María Orozco,Entertainment,Actors & Actresses,INFP
Ana María Polo,Entertainment,Hosts & Presenters,ESTJ
Ana Milán,Entertainment,Actors & Actresses,ENFJ
Ana Paula Arósio,Entertainment,Actors & Actresses,ISFP
Anand Gandhi,Entertainment,Film Directors,INFP
Ananda Morais,Entertainment,Models,ENFJ
Ananta Rispo,Entertainment,Comedians,ENFP
Ananya Pandey,Entertainment,Actors & Actresses,ESFP
Anastasiya Kvitko,Entertainment,Models,ISFJ
Anatoly Solonitsyn,Entertainment,Actors & Actresses,INFJ
Anders Matthesen,Entertainment,Comedians,ESTP
Anderson Di Rizzi,Entertainment,Actors & Actresses,INTP
Andi Oliver,Entertainment,Hosts & Presenters,ESFJ
Andie MacDowell,Entertainment,Actors & Actresses,ESFJ
Andre Braugher,Entertainment,Actors & Actresses,INFJ
André De Shields,Entertainment,Actors & Actresses,ENFJ
André Holland,Entertainment,Actors & Actresses,INFJ
André Lamoglia,Entertainment,Actors & Actresses,ESFP
André Marques,Entertainment,Hosts & Presenters,ESTJ
André Sogliuzzo,Entertainment,Voice Acting,ESFJ
Andre Taulany,Entertainment,Comedians,ESTP
André van Duin,Entertainment,Comedians,ESFJ
Andre’ De Shields,Entertainment,Actors & Actresses,ENFJ
Andrea Arnold,Entertainment,Film Directors,ENFJ
Andréa Beltrão,Entertainment,Actors & Actresses,INFJ
Andrea Brillantes,Entertainment,Actors & Actresses,ESFP
Andrea Brilliantes,Entertainment,Actors & Actresses,ESFP
Andrea Legarreta,Entertainment,Hosts & Presenters,ESFJ
Andrea Libman,Entertainment,Voice Acting,ESFP
Andrea Riseborough,Entertainment,Actors & Actresses,INFJ
Andrea Savage,Entertainment,Comedians,ENTP
Andrea Zelletta,Entertainment,Models,ISFJ
Andrei Mironov,Entertainment,Actors & Actresses,ENTP
Andrei Tarkovsky,Entertainment,Film Directors,INFJ
Andreia Horta,Entertainment,Actors & Actresses,ISFP
Andrés Lopez,Entertainment,Comedians,ESFP
Andrés Velencoso,Entertainment,Actors & Actresses,ESTP
Andressa Urach,Entertainment,Models,ESTP
Andrew Barth Feldman,Entertainment,Actors & Actresses,ENFP
Andrew Choe,Entertainment,Film & TV Crew,ISTP
Andrew Dice Clay,Entertainment,Comedians,ESTP
Andrew Divoff,Entertainment,Actors & Actresses,ISFJ
Andrew Dominik,Entertainment,Film Directors,ENTP
Andrew Flannagan,Entertainment,Actors & Actresses,ESTP
Andrew Francis,Entertainment,Voice Acting,ESFJ
Andrew Garfield,Entertainment,Actors & Actresses,INFP
Andrew Keenan-Bolger,Entertainment,Actors & Actresses,ISFJ
Andrew Lincoln,Entertainment,Actors & Actresses,ISFJ
Andrew McCarthy,Entertainment,Actors & Actresses,INFP
Andrew Neil,Entertainment,Hosts & Presenters,ESTJ
Andrew Rannells,Entertainment,Actors & Actresses,ESFP
Andrew Santino,Entertainment,Comedians,ENTP
Andrew Schulz,Entertainment,Comedians,ENTP
Andrew Scott,Entertainment,Actors & Actresses,INFP
Andrew Stanton,Entertainment,Film Directors,INTP
Andrey Bednyakov,Entertainment,Hosts & Presenters,ENTP
Andrey Zvyagintsev,Entertainment,Film Directors,INFJ
Andria Tayeh,Entertainment,Actors & Actresses,INFJ
Andrija Milošević,Entertainment,Actors & Actresses,ESFP
Andrzej Wajda,Entertainment,Film Directors,INFP
Andrzej Zulawski,Entertainment,Film Directors,INTJ
Andy Buckley,Entertainment,Actors & Actresses,INTP
Andy Cohen,Entertainment,Hosts & Presenters,ESFP
Andy Day,Entertainment,Hosts & Presenters,ESFP
Andy Dick,Entertainment,Comedians,ENFP
Andy García,Entertainment,Actors & Actresses,INFJ
Andy Kaufman,Entertainment,Comedians,ENFP
Andy Lau,Entertainment,Actors & Actresses,ISFJ
Andy Lee,Entertainment,Comedians,ESTP
Andy Milonakis,Entertainment,Comedians,ENFP
Andy Richter,Entertainment,Comedians,ENTP
Andy Samberg,Entertainment,Actors & Actresses,ENFP
Andy Serkis,Entertainment,Actors & Actresses,INTP
Andzia,Entertainment,Voice Acting,ISTP
Aneesh Chaganty,Entertainment,Film Directors,ENTP
Ang Lee,Entertainment,Film Directors,INFJ
Angel Lelga,Entertainment,Actors & Actresses,ESFJ
Ángel Llàcer,Entertainment,Hosts & Presenters,ENTP
Angel Locsin,Entertainment,Actors & Actresses,ESFJ
Angel Moreno,Entertainment,Models,ENTP
Angela Bassett,Entertainment,Actors & Actresses,ENFJ
Angela Bowie,Entertainment,Models,ESTJ
Angela Kinsey,Entertainment,Actors & Actresses,ESFJ
Angela Lansbury,Entertainment,People of Classic Hollywood,ESTJ
Angela Schijf,Entertainment,Actors & Actresses,ENFJ
Angela Torres,Entertainment,Actors & Actresses,ESFP
Angelababy (Yeung Wing),Entertainment,Actors & Actresses,ESFJ
Angelica Ross,Entertainment,Actors & Actresses,ESTJ
Angelina Jolie,Entertainment,Actors & Actresses,ESTP
Angelines Fernández,Entertainment,Actors & Actresses,ESFJ
Angga Dwimas Sasongko,Entertainment,Film Directors,ENTP
Angga Yunanda,Entertainment,Actors & Actresses,ISFP
Anggy Umbara,Entertainment,Film Directors,ESFP
Angie Chiu,Entertainment,Actors & Actresses,ISFJ
Angourie Rice,Entertainment,Actors & Actresses,ENFP
Angus Cloud,Entertainment,Actors & Actresses,ISFP
Anita Alvarado,Entertainment,Actors & Actresses,ESTP
Anita Finlay,Entertainment,Actors & Actresses,ISFJ
